author,journal,year,title,filename,translator,type,month,publication,notes
Jun Fujita,adapt,1923,"""The death-like expanse of snowÅEc""",6.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The rocking horseÅEc""",7.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Milky night...""",8.txt,,,,Tanka: Poems in Exile,"Poetry: A Magazine of Verse, Apr., 1925"
Jun Fujita,adapt,1923,"""The air is stillÅEc""",9.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""On the pond rain-drops are bubblingÅEc""",10.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The sloping sand plainÅEc""",11.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Above the settling mistÅEc""",12.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Down the slopes, white with flowersÅEc""",13.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""While you pant delirously, I awakeÅEc""",14.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Against the gulls that play in the galeÅEc""",15.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Midnight...""",16.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The night is bare and paleÅEc""",17.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Over the undulating expanse, grey glareÅEc""",18.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""There is not time hereÅEc""",19.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""By the sunflowersÅEc""",20.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A strange mutenessÅEc""",21.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The brook has goneÅEc""",22.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A sudden caw, lost in the airÅEc""",23.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""On a country roadÅEc"" ",24.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Against the cold sky...""",25.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The November sky witout a star...""",26.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Across the frozen marsh...""",27.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""On a pale sand-hill...""",28.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Graves are frozenÅEc""",29.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""I know it is not she...""",30.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Gypsy Taylor""",31.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""To Elizabeth""",32.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Miriam""",33.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Ecstasy""",34.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Summer Moon""",35.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A Moon""",36.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A Picture""",37.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Diminuendo""",38.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Michigan Boulevard""",39.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Chicago River""",40.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""My sister""",41.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Two Leaves""",82.txt,,,June,Poetry: A Magazine of Verse,
Jun Fujita,adapt,1923,"""Oblivion""",83.txt,,,June,Poetry: A Magazine of Verse,
Jun Fujita,adapt,1923,"""Mist""",84.txt,,,June,Poetry: A Magazine of Verse,
Kwaw Li Ya,adapt,1915,"""Catch me, caress meÅEc""",494.txt,,,Jan. - Dec.,Vanity Fair,
Paul-Louis Couchoud,adapt,1908,"""Alone in a roomÅEc""",595.txt,F.S.Flint,,,"""Recent Verse,"" The New Age 3",
Paul-Louis Couchoud,adapt,1908,"""A fallen petalÅEc""",596.txt,F.S.Flint,,,"""Recent Verse,"" The New Age 3",See also #464; may be Japanese
Richard Aldington,adapt,1914,"""The River""",505.txt,,,February,The Glebe: Des Imagistes--An Anthology,The Japanese Tradition in British and American Literature
Richard Aldington,adapt,1915,"""The apparition   of these poems   in a crowdÅEc""",507.txt,,,January,The Egoist,The Japanese Tradition in British and American Literature
Richard Aldington,adapt,1916,"""R.V. and Another""",602.txt,,,November,The Egoist,
Richard Aldington,adapt,1919,"""Insouciance""",506.txt,,,July,Poetry: A Magazine of Verse,The Japanese Tradition in British and American Literature
Richard Aldington,adapt,1919,"""Living Sepulchres""",601.txt,,,,War and Love (1915-1918),
Roger Sergel,adapt,1919,"""Hokku: Evening""",60.txt,,hokku,June,The Little Review,
Unknown,adapt,1915,"""Catherine CheneyÅEc""",493.txt,,,Jan. - Dec.,Vanity Fair,
Unknown,adapt,1921,"""Futility""",466.txt,,,,The Siren,
Unknown,adapt,1921,"""Grandma""",467.txt,,,,The Siren,
Unknown,adapt,1921,"""Shudder""",468.txt,,,,The Siren,
Unknown,adapt,1921,"""Angry""",469.txt,,,,The Siren,
Unknown,adapt,1921,"""Sunday""",470.txt,,,,The Siren,
Unknown,adapt,1921,"""Coca Cola""",471.txt,,,,The Siren,
Unknown,adapt,1921,"""Finish""",472.txt,,,,The Siren,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",666.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",667.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",668.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",669.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",670.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",671.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",672.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",673.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",674.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",675.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",676.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",677.txt,,,December,Others,
Wallace Stevens,adapt,1917,"""Thirteen Ways of Looking at a Blackbird""",678.txt,,,December,Others,
William Carlos Williams,adapt,1916,"""Marriage""",513.txt,,,November,Poetry: A Magazine of Verse,The Japanese Tradition in British and American Literature
Yone Noguchi,adapt,1913,"""One blossom of the plumÅEc""",450.txt,,hokku,January,Rhythm,
Yone Noguchi,adapt,1913,"""Across the song of night and moonÅEc""",451.txt,,hokku,January,Rhythm,
Yone Noguchi,adapt,1913,"""Tell me the street to HeavenÅEc""",454.txt,,hokku,January,Rhythm,
Yone Noguchi,adapt,1913,"""Is it, Oh, listÅEc""",455.txt,,hokku,January,Rhythm,
Yone Noguchi,adapt,1915,"""My love's lengthened hairÅEc""",492.txt,,,Jan. - Dec.,Vanity Fair,
Yone Noguchi,adapt,1916,"""A temple by the cloudsÅEc""",61.txt,,hokku,November,The Egoist,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1916,"""What is Life? A voice...""",62.txt,,hokku,November,The Egoist,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1916,"""The seas sleep. The starsÅEc""",63.txt,,hokku,November,The Egoist,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1916,"""Bird-ships in the fieldsÅEc""",64.txt,,hokku,November,The Egoist,
Yone Noguchi,adapt,1916,"""My memory-birdÅEc""",65.txt,,hokku,November,The Egoist,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1916,"""Sudden pain of earthÅEc""",66.txt,,hokku,November,The Egoist,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1916,"""Lift anchor, life ship!...""",67.txt,,hokku,November,The Egoist,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1916,"""Like that screen - our fate?...""",68.txt,,hokku,November,The Egoist,
Yone Noguchi,adapt,1916,"""Won't you pity me?...""",69.txt,,hokku,November,The Egoist,
Yone Noguchi,adapt,1919,"""Bits of song - what else?...""",85.txt,,hokku,November,Poetry: A Magazine of Verse,
Yone Noguchi,adapt,1919,"""Full of faults you sayÅEc""",86.txt,,hokku,November,Poetry: A Magazine of Verse,
Yone Noguchi,adapt,1919,"""But the march to life-ÅEc""",87.txt,,hokku,November,Poetry: A Magazine of Verse,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1919,"""Song of sea in rainÅEc""",88.txt,,hokku,November,Poetry: A Magazine of Verse,"Japanese Hokkus, 1920"
Yone Noguchi,adapt,1920,"""Suppose the starsÅEc""",524.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Some one at my door?...""",525.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The faint shadow of the morning moon?...""",526.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The far-away skyÅEc""",527.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""At eveÅEc""",528.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Leaves blownÅEc""",529.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Oh, canst thou hearÅEc""",530.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Is it that the banner blows?...""",531.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Lord, how long hast thouÅEc""",532.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Are the fallen starsÅEc""",533.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Shadow! There's shadow!...""",534.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Is it a fallen leaf?...""",535.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Behold the sky where the cuckoo sungÅEc""",536.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""By the path of the breezeÅEc""",537.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Truth, like moon of day and nightÅEc""",538.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The voice falls like a dreamÅEc""",539.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Oh, my own self in the bargeÅEc""",540.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I, a moth with no sense of the dayÅEc""",541.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""A breeze forgotten by lifeÅEc""",542.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The silence-leaves fallen from LifeÅEc""",543.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""'Ghost of my soul,' I shoutÅEc""",544.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Full of faults, you sayÅEc""",545.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Bits of songÅEcwhat else?...""",546.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""That's the way that the stars grow oldÅEc""",547.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Is it not the cry of a rose to be saved?...""",548.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""He has not time to think of others, he is an egoistÅEc""",549.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""There's a moment the flower falls into false artÅEc""",550.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""To become tree-manÅEc""",551.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I see no form but only beauty in evidenceÅEc""",552.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Crawled? Whereto? I know nothing exceptÅEc""",553.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Is it the pillar by which I reach the sky?...""",554.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The ancient song of my heartÅEc""",555.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Fallen leaves! Nay, spirits?...""",556.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Lo, light and shadowÅEc""",557.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""This way? Or that way?...""",558.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Waking or sleeping?...""",559.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The seas are passion-redÅEc""",560.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""It is too late to hear a nightingale?...""",561.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Oh, to part now, does it mean that we shallÅEc""",562.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I shall cry to thee across the years?...""",563.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The voice of the rocketsÅEc""",564.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""To face only the sky and forget the landÅEc""",565.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""What is it? Is itÅEc""",566.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Where the flowers sleepÅEc""",567.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Life to the arts shoutsÅEc""",568.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I wish to be like a hurrying, rock-hurling moun-ÅEc""",569.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I row across the expanse of seaÅEc""",570.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The fickle waves of a strand do drench myÅEc""",571.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The maple leaves on the mountain top wouldÅEc""",572.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""How sweet is to sleepÅEc""",573.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Like a cobweb hung upon the treeÅEc""",574.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I turned my face not to seeÅEc""",575.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Oh, How coolÅEc""",578.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Where's cherry blossom?...""",579.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""O Matsu San and O Cho San sing wellÅEc""",580.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The nightingales under the boughsÅEc""",581.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The snow, like silent army, hurries to theÅEc""",582.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I hide myself behind the biggest billowÅEc""",583.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Farewell, I go to the seaÅEc""",584.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Is there anything new under the sun?...""",587.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""I sit by a charcoal brazierÅEc""",588.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The sunlight of mornÅEc""",589.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""With irony in lookÅEc""",590.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Let me rise from life's dustÅEc""",591.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Creator of attitude and artÅEc""",592.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""Know I not at all who is withinÅEc""",593.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1920,"""The wind shook her hair of gloomÅEc""",594.txt,,hokku,,Japanese Hokkus,
Yone Noguchi,adapt,1922,"""Speak not again, VoiceÅEc""",461.txt,,,June,Poetry: A Magazine of Verse,"Japanese Hokkus, 1920"
Unknown,trans,1899,"""'Tis the cuckooÅEc""",631.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Unknown,trans,1899,"""'Tis the first snowÅEc""",632.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Unknown,trans,1899,"""The club-shaker'sÅEc""",633.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Unknown,trans,1899,"""O ye fallen leaves!""",634.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Unknown,trans,1899,"""Alas! the width of this mosquito-netÅEc""",635.txt,W.G. Aston,hokku,,A History of Japanese Literature,
?chik?chi Mitsune,trans,1919,"""My loveÅEc""",369.txt,Arthur Waley,x,,Japanese Poetry,
?nakatomi Yoshinobu,trans,1919,"""The deer which livesÅEc""",398.txt,Arthur Waley,x,,Japanese Poetry,"The New Age, Mar., 1920"
?toma no Katami,trans,1919,"""With a spreading and spreadingÅEc""",313.txt,Arthur Waley,x,,Japanese Poetry,
?tomo no Tabito,trans,1919,"""To sit silentÅEc""",297.txt,Arthur Waley,x,,Japanese Poetry,
?tomo No Tabito,trans,1919,"""Because it is the case thatÅEc""",299.txt,Arthur Waley,x,,Japanese Poetry,
?tomo no Tabito,trans,1919,"""If in the CapitalÅEc""",303.txt,Arthur Waley,x,,Japanese Poetry,
Abe no Hironawa,trans,1919,"""The young plum-treeÅEc""",409.txt,Arthur Waley,x,,Japanese Poetry,
Abe no Mushimaro,trans,1919,"""I know no meansÅEc""",310.txt,Arthur Waley,x,,Japanese Poetry,
Akahito,trans,1919,"""I wish I could lend a coatÅEc""",300.txt,Arthur Waley,x,,Japanese Poetry,
Akahito,trans,1919,"""The of old timesÅEc""",302.txt,Arthur Waley,x,,Japanese Poetry,
Akahito,trans,1919,"""The men of valourÅEc""",319.txt,Arthur Waley,x,,Japanese Poetry,"The New Age, Mar., 1920"
Akahito,trans,1919,"""The plum-blossomÅEc""",330.txt,Arthur Waley,x,,Japanese Poetry,
Akahito,trans,1919,"""Love which is greater than oneself isÅEc""",385.txt,Arthur Waley,x,,Japanese Poetry,"The New Age, Mar., 1920"
Anonymous,trans,1919,"""My houseÅEc""",304.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Because Fate cannot be stayedÅEc""",305.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""I dreamtÅEc""",307.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""When I take my harpÅEc""",323.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Would my house were on the cliffÅEc""",324.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Shall we make loveÅEc""",325.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""O sea-gulls that are cryingÅEc""",326.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""(You are like) the LightningÅEc""",329.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Will you, all aloneÅEc""",333.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""If frost should fallÅEc""",334.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""One heartÅEc""",342.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Loosed from Winter's prisonÅEc""",343.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""(Like) the waves that rippleÅEc""",344.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""High mountains andÅEc""",345.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Near the valleyÅEc""",346.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""O cuckooÅEc""",349.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Because the moonlightÅEc""",355.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""They say there isÅEc""",360.txt,Arthur Waley,x,,Japanese Poetry,"The New Age, Mar., 1920"
Anonymous,trans,1919,"""Of our loveÅEc""",361.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""If it were possibleÅEc""",362.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Hoping all the timeÅEc""",363.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Like the ice which meltsÅEc""",364.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Even for the space of a flashÅEc""",365.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""When dawn comesÅEc""",372.txt,Arthur Waley,x,,Japanese Poetry,"The New Age, Mar., 1920"
Anonymous,trans,1919,"""Can even the God of ThunderÅEc""",373.txt,Arthur Waley,x,,Japanese Poetry,"The New Age, Mar., 1920"
Anonymous,trans,1919,"""If only, when one heardÅEc""",378.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""Can this worldÅEc""",381.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""The long thoughtsÅEc""",383.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""In the swamp-waterÅEc""",394.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""At each noteÅEc""",413.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""In this worldÅEc""",414.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""When I come and lookÅEc""",426.txt,Arthur Waley,x,,Japanese Poetry,
Anonymous,trans,1919,"""On whom can it have reliedÅEc""",437.txt,Arthur Waley,x,,Japanese Poetry,
Basho,trans,1899,"""'Twas the new moon!""",625.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Basho,trans,1899,"""I come wearyÅEc""",626.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Basho,trans,1899,"""Ah! The waving lespedezaÅEc""",627.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Basho,trans,1899,"""'Tis the first snowÅEc""",628.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Basho,trans,1899,"""Of MiideraÅEc""",629.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Basho,trans,1899,"""The cry of the cicadaÅEc""",630.txt,W.G. Aston,hokku,,A History of Japanese Literature,
Basho,trans,1902,"""Where the dews drop""",698.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""The mallow-flower""",699.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""Sparrow, my friend""",700.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""'Tis a toad's croak""",701.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""The end of autumn""",702.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""Taken ill while""",703.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""Haply the summer""",705.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1902,"""A stem of grass""",706.txt,Basil Hall Chamberlain,,,Basho and the Japanese Poetical Epigram,
Basho,trans,1906,"""A frog leaps into an old well - and we hear the ripple ofÅEc""",483.txt,Stanhope Sams,,January,South Atlantic Quarterly,
Basho,trans,1906,"""Add wings to the pod of red pepper and you have aÅEc""",488.txt,Stanhope Sams,,January,South Atlantic Quarterly,
Basho,trans,1910,"""Contrasts""",607.txt,Clara Walsh,hokku,,The Master-Singers of Japan,
Basho,trans,1910,"""The Full Moon""",608.txt,Clara Walsh,hokku,,The Master-Singers of Japan,
Basho,trans,1910,"""The Pond""",609.txt,Clara Walsh,hokku,,The Master-Singers of Japan,
Basho,trans,1910,"""Sakura""",610.txt,Clara Walsh,hokku,,The Master-Singers of Japan,
Basho,trans,1910,"""A Sketch""",611.txt,Clara Walsh,hokku,,The Master-Singers of Japan,
Basho,trans,1913,"""Shall I knockÅEc""",452.txt,Yone Noguchi,hokku,January,Rhythm,
Basho,trans,1913,"""A cloud of flowersÅEc""",453.txt,Yone Noguchi,hokku,January,Rhythm,
Basho,trans,1913,"""On a withered twigÅEc""",457.txt,Yone Noguchi,hokku,January,Rhythm,"Vanity Fair, Jan.-Dec., 1915"
Basho,trans,1914,"""Ah, how sublimeÅEc""",117.txt,Yone Noguchi?,,,The Spirit of Japenese Poetry,"Japanese Hokkus, 1920"
Basho,trans,1920,"""Lying ill on journeyÅEc""",576.txt,Yone Noguchi,hokku,,Japanese Hokkus,
Basho,trans,1920,"""Move, O grave!""",617.txt,Taketomo Terao,hokku,January,Taketomo's Essay (1920),
Basho,trans,1921,"""Old pond - frogs jumping in, - sound of waterÅEc""",473.txt,Lafcadio Hearn,hokku,October,The Arts,
Bunya Yasuhide,trans,1919,"""Although both grasses and treesÅEc""",354.txt,Arthur Waley,x,,Japanese Poetry,
